I/V NO.,ITEM NO.,SUBSTITUTION PARTS NO.,GOODS CATEGORY,DESCRIPTION OF GOODS,NOTE(BOTTOM),COUNTRY OF ORIGIN,NUMBER OF PACKAGE,PACKAGE UNIT,QUANTITY,UNIT,GROSS WEIGHT,NET WEIGHT,MEASUREMENT,P/I NO.,D/O NO.,CASE NO.(FROM),CASE NO.(TO),P/L NOTE,NOTE(TOP),CLASS2 CATEGORY TEXT
B2N222,W606530,,,TS200AD  BELL W/O STAMPED,,Japan,1,PL,80,PC,86,68.8,2.311,4022654,1038241,2015,2015,,,
B2N222,W610150,,,T475 BELL W/O STAMPED,,Japan,1,PL,5,PC,87,69.6,2.311,4022654,1038241,2016,2016,,,
B2N222,W610150,,,T475 BELL W/O STAMPED,,Japan,,,15,PC,,,,4022654,1038241,2016,2016,,,
B2N222,W606530,,,TS200AD  BELL W/O STAMPED,,Japan,,,60,PC,,,,4022654,1038241,2016,2016,,,
B2N222,W588930,,,A23 BELL BULGE FINISHED,,Japan,3,PL,600,PC,399,319.2,7.551,4022654,1038241,2017,2019,,,
B2N222,WW03490,,,A23 BOW BULGE FINISHED,,Japan,2,PL,800,PC,312,249.6,5.034,4022654,1038241,2020,2021,,,
B2N222,WW03490,,,A23 BOW BULGE FINISHED,,Japan,1,PL,320,PC,152,121.6,2.517,4022654,1038241,2022,2022,,,
B2N222,W588930,,,A23 BELL BULGE FINISHED,,Japan,,,40,PC,,,,4022654,1038241,2022,2022,,,
B2N222,W588930,,,A23 BELL BULGE FINISHED,,Japan,2,PL,400,PC,269,217.6,5.034,4022654,1038241,2023,2024,,,
B2N222,W588930,,,A23 BELL BULGE FINISHED,,Japan,1,PL,180,PC,121,96.8,2.517,4022654,1038241,2025,2025,,,
B2N222,ZA32200,,,STEELPLATE FOR SAXBODYFORMING 100X24X1.6,,Japan,1,PL,1800,PC,245,196,0.835,4022692,1038242,2001,2001,,,
B2N222,W718310,,,STEEL PLATE FOR SAX NECK FOAMING,,Japan,,,1300,PC,,,,4022692,1038242,2001,2001,,,
