TR	GB0001	15/11/2018
F49	Y1000Y	01/11/2018
F49	Y1000Y	06/11/2018
F49	Y1000Y	07/11/2018
F49	Y1000Y	08/11/2018
F49	Y1000Y	14/11/2018
F49	Y1000Y	16/11/2018
F49	Y1000Y	23/11/2018
F49	Y1000Y	27/11/2018
F49	Y1000YJ	01/11/2018
F49	Y1000YJ	06/11/2018
F49	Y1000YJ	07/11/2018
F49	Y1000YJ	08/11/2018
F49	Y1000YJ	14/11/2018
F49	Y1000YJ	16/11/2018
F49	Y1000YJ	23/11/2018
F49	Y1000YJ	27/11/2018
F49	Y10012	06/11/2018
F49	Y10012	08/11/2018
F49	Y10012	15/11/2018
F49	Y10012	21/11/2018
F49	Y10012	23/11/2018
F49	Y70081	08/11/2018
F49	Y70081	15/11/2018
F49	Y70081	22/11/2018
F49	Y77027	15/11/2018
F49	Y77027	22/11/2018
F49	Y77027	23/11/2018
F49	Y77027	26/11/2018
F49	Y77029	15/11/2018
F49	Y77029	23/11/2018
F49	Y81107	15/11/2018
F49	Y82801	21/11/2018
