Y81804	XIAOSHAN YAMAHA MUSICAL INSTRUMENT	XY
Y81107	"SIAM MUSIC YAMAHA CO., LTD"	ITM-SIAM
Y70801	YAMAHA DE MEXICO S.A. DE C.V.	ITM-MX
Y31507	YAMAHA MUSIC MANUFACTURING JAPAN	YMMJ
Y1000Y	YAMAHA CORPORATION	YCJ
Y1000YJ	YAMAHA CORPORATION (YMJ)	YMJ
Y82801	YAMAHA MUSIC KOREA LTD.	ITM-KOREA
Y10012	YAMAHA CORPORATION C/O MOL LOGISTIC	JH
Y77053	YAMAHA MUSIC EUROPE GMBH (HB) CASE	ITM-HB-CASE
Y77027	YAMAHA MUSIC EUROPE GMBH (HB)	ITM-HB
Y77029	YAMAHA MUSIC EUROPE GMBH (LH)	ITM-LH
GB0001	PT. MOL Logistics Indonesia	YMID
Y70081	"YCA,BAND&ORCHESTRAL DIV (ITM)"	ITM-YCA
Y00000	JAPAN (YCJ, YMJ, YMMJ)	JPN
